year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2015,25-29,0.18782805777630865,0.005252052572770455,0.24629405120932021,0.004546802645948324,0.2315,0.2635
2016,25-29,0.19201464058531115,0.005623367779547708,0.2473910835206769,0.0024062561475553727,0.2098,0.2607
2017,25-29,0.1897890272521434,0.00533465452856613,0.24916902294890164,0.004301421392458118,0.196,0.2559
2018,25-29,0.18506259801695726,0.0037177734393961234,0.25014143519084736,0.0036143222807035725,0.1745,0.2578
2019,25-29,0.17384179210474518,0.0043088648879147685,0.2508347432052406,0.0050568845093396835,0.1535,0.2659
2020,25-29,0.160213135404906,0.004655497361840245,0.25024534077054106,0.005251593705308099,0.167,0.2507
2021,25-29,0.1454882608595088,0.00398776604763163,0.24830331707857808,0.0068350442599722635,0.1522,0.2651
2022,25-29,0.1334967898386675,0.004686778411962009,0.24483219643423434,0.00537748880099942,0.138,0.2706
2023,25-29,0.12263119891356242,0.004268121071022296,0.24252050916902004,0.0035360920463974837,0.1272,0.2639
2024,25-29,0.11272578537834584,0.004313708836788296,0.23884532615010257,0.004261542464911248,0.1058,0.258
2010,30-34,0.4338560413792121,0.006567959594368877,0.22913499499091192,0.003336164440886373,0.4309,0.2315
2011,30-34,0.40955465518289114,0.00491956512326342,0.23069401585832866,0.004192013744373644,0.3974,0.2179
2012,30-34,0.3877631784496219,0.005074960129942409,0.2324926936453755,0.003577046835758219,0.3769,0.2445
2013,30-34,0.36632865337904463,0.004214569307504498,0.2361304713831009,0.004888281223435885,0.3651,0.2292
2014,30-34,0.3440882236501127,0.004564139789137925,0.2413677046252422,0.005999630524304666,0.3659,0.2496
2015,30-34,0.32330626882547747,0.005097006307410003,0.2472692389462034,0.005621073806703884,0.3726,0.2437
2016,30-34,0.30616249984328703,0.00545157159950854,0.2473043863631227,0.006448226684292734,0.3491,0.2469
2017,30-34,0.2906411149178591,0.004870478706629959,0.24725039081847053,0.005377740036153246,0.3463,0.2569
2018,30-34,0.27485332770655396,0.005366911136181643,0.2501807086768844,0.0038628679838569463,0.3086,0.246
2019,30-34,0.2597276354362764,0.004921474918158239,0.2533400607583118,0.004825897734055879,0.3002,0.2535
2020,30-34,0.2446494259648233,0.004641635676500976,0.2592091270150849,0.0038329546564175683,0.2895,0.2557
2021,30-34,0.24637695564156695,0.005154407146346734,0.25623960434230125,0.0027971295492493363,0.2591,0.2651
2022,30-34,0.24136889768525857,0.005098985385417129,0.2570832236635659,0.003739465499813736,0.2417,0.2525
2023,30-34,0.2342633932741332,0.003711427296131582,0.25847139543442244,0.003970708240350169,0.2227,0.2782
2024,30-34,0.2231680535251988,0.005136460437630668,0.25776537899916674,0.005788121478605389,0.2161,0.2478
2010,35-39,0.47499216238207126,0.0066944684501663,0.2095517356037541,0.006465934136769504,0.4768,0.2096
2011,35-39,0.47441924427842724,0.006775284693343389,0.21236377842759724,0.005982992048507306,0.4837,0.2203
2012,35-39,0.4736187759405386,0.007011976350179207,0.21534546040698518,0.006355130882541243,0.4889,0.2068
2013,35-39,0.4716534268510631,0.005488621511865057,0.2169975376907687,0.004265819733069007,0.4387,0.2161
2014,35-39,0.47051083091470286,0.004991203252123717,0.21731091276340517,0.002828225330325431,0.4577,0.216
2015,35-39,0.4693380953119929,0.006391370141462772,0.2166635802678904,0.0037498807501754,0.4689,0.2227
2016,35-39,0.4473706501778035,0.0046196194079875085,0.220605634739251,0.004327619735695743,0.4179,0.2372
2017,35-39,0.42750207851400673,0.0040890950668220506,0.22497353315747162,0.0038774023762888133,0.4229,0.2324
2018,35-39,0.40766744835881696,0.004689534406698194,0.22914893344285586,0.004548148307118277,0.4085,0.217
2019,35-39,0.3884102174864615,0.004904686652288914,0.23538678820581704,0.004131523599882477,0.3825,0.2396
2020,35-39,0.3705027865323127,0.0056698130387641465,0.2396384288478573,0.004917794906006731,0.3793,0.2216
2021,35-39,0.3536621733606457,0.006262857504973019,0.24296284029800996,0.005911808038281377,0.3505,0.2373
2022,35-39,0.339208535397119,0.005737168044378177,0.24516741411352547,0.004246100579486436,0.3603,0.2285
2023,35-39,0.3229808383205503,0.006047038684997472,0.24844029119139083,0.003891511527972677,0.3166,0.2496
2024,35-39,0.307129346392495,0.006644882905993517,0.2511294597880136,0.0032602518629885058,0.3086,0.258
