year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2016,30-34,0.20574812004934787,0.004674280421262455,0.4581435984161886,0.007934296556571277,0.2244,0.4529
2017,30-34,0.19496646299395115,0.0043706054650242444,0.46338535280455395,0.0072876855800258445,0.2095,0.4667
2018,30-34,0.18555638845385689,0.004357969984885131,0.46819457905312195,0.006964711709620729,0.2029,0.4838
2019,30-34,0.18637394150888087,0.0054133853136846734,0.4679933681684366,0.0064876301182336974,0.2031,0.4749
2020,30-34,0.1803236261709982,0.004684479565659121,0.47142936535283025,0.005426814791303034,0.1804,0.4964
2021,30-34,0.17389594373614953,0.00459417602768058,0.47214280882113524,0.005191386123156921,0.1623,0.4842
2022,30-34,0.1658254476589678,0.004954735695413018,0.4748048883383974,0.004692733703523515,0.1733,0.4607
2023,30-34,0.15450513535629679,0.005028006154057317,0.4814848445606359,0.004945148461403482,0.16,0.4702
2024,30-34,0.14332377945309926,0.003699278871461907,0.48447944205232496,0.006367277636040028,0.1547,0.4576
2008,35-39,0.3298446988417724,0.006965488463137167,0.3679849911320619,0.007193184321830774,0.3324,0.3668
2009,35-39,0.32819205235860555,0.007146504090759372,0.3840086307886688,0.006433631717732001,0.3151,0.392
2010,35-39,0.32412054896078923,0.006599043767753317,0.39702913033687454,0.005582649166609988,0.3092,0.3956
2011,35-39,0.3212817329194799,0.006224059213642766,0.4052725736260483,0.006676779361850313,0.2922,0.4007
2012,35-39,0.31792052557389794,0.0070065653619856665,0.41415266653374777,0.006819848373687515,0.2889,0.4167
2013,35-39,0.3152518273070634,0.005467142642339873,0.4171697861365298,0.004920474630589916,0.2779,0.4145
2014,35-39,0.3065246640938891,0.004737778786527817,0.4207377292408658,0.004837807291852715,0.2717,0.417
2015,35-39,0.2994994394208554,0.004779276658844225,0.4237736418543483,0.005329447883777051,0.2789,0.411
2016,35-39,0.2897488510103637,0.004674500391126145,0.4277045423785058,0.00744510661067069,0.272,0.4215
2017,35-39,0.2818896049607199,0.006608721270120574,0.4311988667818301,0.007528959018482815,0.2646,0.4263
2018,35-39,0.2735384774173951,0.006163665250551372,0.434678891126092,0.00602905965433629,0.259,0.4237
2019,35-39,0.2634960127274979,0.0053005639954906,0.44066147495941455,0.0046736432836849825,0.2571,0.4335
2020,35-39,0.25525361605460906,0.005765867100030227,0.4426755432765093,0.006688671716149087,0.2413,0.4414
2021,35-39,0.24578497612530367,0.00602309162331874,0.4491694949875477,0.006205294213110599,0.2332,0.4401
2022,35-39,0.2342955566023525,0.005745194003761487,0.45458245191855295,0.004972433191061011,0.2314,0.4332
2023,35-39,0.22429387751086166,0.0055626123448445424,0.4593319168012279,0.006571614629118011,0.2285,0.4263
2024,35-39,0.22268456420250504,0.006743181352927601,0.4587490884524634,0.008012241306590534,0.216,0.4277
