country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.067964,0.082368,0.324810,0.031962,0.081218,0.019673,0.356787,1993.795847,0.108482,0.022541,0.000000,2019.270879,0.758445
CRI,1,0.075631,0.060027,0.317441,0.035680,0.073944,0.017055,0.386129,1992.502191,0.117244,0.025242,0.000000,2018.855698,1.018179
CRI,1,0.096121,0.083484,0.314167,0.036549,0.065772,0.019979,0.379451,1991.120005,0.116106,0.023067,0.000000,2019.602405,0.894382
CRI,1,0.106553,0.079787,0.302291,0.033066,0.063924,0.019475,0.376973,1990.441208,0.113959,0.023899,0.000000,2019.242434,0.904846
CRI,1,0.068502,0.075698,0.312080,0.035152,0.068703,0.019253,0.374141,1991.510263,0.118520,0.022307,0.000000,2019.287476,0.876506
CRI,1,0.071900,0.067266,0.315407,0.055566,0.066852,0.016229,0.403284,1991.372565,0.108605,0.028472,0.000000,2018.495240,0.653724
CRI,1,0.115629,0.088112,0.246582,0.038255,0.090201,0.016707,0.332193,1986.574806,0.143611,0.024781,0.000000,2020.139180,0.902152
CRI,1,0.067471,0.065942,0.352409,0.039918,0.065955,0.019424,0.393882,1994.359229,0.112760,0.020824,0.000000,2018.832389,0.789667
CRI,1,0.102036,0.060906,0.321609,0.042962,0.081908,0.016992,0.368541,1993.258066,0.128088,0.020901,0.000000,2018.820939,0.745211
CRI,1,0.067703,0.076981,0.316019,0.038071,0.069610,0.019197,0.376711,1991.666914,0.118995,0.022535,0.000000,2019.410606,0.855342
CRI,1,0.062096,0.062383,0.294736,0.039593,0.069682,0.020985,0.397180,1990.236813,0.103836,0.026462,0.000000,2019.455857,0.866787
CRI,1,0.087779,0.061740,0.327344,0.030290,0.079633,0.018283,0.466193,1992.285940,0.167466,0.027317,0.000000,2017.304983,0.669791
CRI,1,0.052701,0.073792,0.309376,0.043774,0.070148,0.019058,0.344512,1991.740456,0.103930,0.020734,0.000000,2019.977327,0.895124
CRI,1,0.095124,0.083852,0.311838,0.043592,0.071891,0.021046,0.373973,1991.204674,0.124332,0.019941,0.000000,2019.586496,0.626135
CRI,1,0.058459,0.065069,0.316035,0.037533,0.073428,0.017993,0.383075,1992.182267,0.118978,0.023977,0.000000,2019.041474,0.908014
CRI,1,0.063599,0.060687,0.360139,0.036310,0.063316,0.019623,0.382469,1988.243541,0.109107,0.028416,0.000000,2019.912590,0.849638
CRI,1,0.083397,0.070547,0.327689,0.024986,0.077215,0.022665,0.354787,1991.394378,0.132096,0.017178,0.000000,2020.216680,1.043634
CRI,1,0.052505,0.068067,0.318455,0.045923,0.069359,0.017685,0.390923,1991.378019,0.114061,0.025934,0.000000,2018.943154,0.739450
CRI,1,0.077625,0.061773,0.332190,0.042229,0.075345,0.018964,0.386108,1991.234104,0.120297,0.024676,0.000000,2019.415355,0.769201
CRI,1,0.054346,0.071870,0.317047,0.036819,0.070329,0.019180,0.377118,1991.441411,0.118962,0.022912,0.000000,2019.319544,0.848782
CRI,1,0.071177,0.055981,0.318023,0.047319,0.061781,0.018476,0.407558,1988.352545,0.133433,0.024514,0.000000,2019.439837,0.904595
CRI,1,0.050119,0.074499,0.323107,0.035330,0.076064,0.019368,0.369213,1992.508420,0.114252,0.023043,0.000000,2019.313290,0.793326
CRI,1,0.084151,0.059231,0.328038,0.039464,0.073688,0.018967,0.385704,1990.808745,0.120850,0.024600,0.000000,2019.284082,0.793739
CRI,1,0.051174,0.071967,0.319002,0.038415,0.070616,0.019139,0.378951,1991.454158,0.119456,0.023061,0.000000,2019.379071,0.839646
CRI,1,0.068748,0.069817,0.287831,0.037393,0.078430,0.018698,0.366246,1987.302398,0.128752,0.026498,0.000000,2019.932658,0.868312
