country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.333979,0.099506,0.210404,0.046391,0.086423,0.022021,1.000000,1993.428720,0.215106,0.000000,0.210618,2017.817015,0.497660
CRI,1,0.142416,0.061179,0.238399,0.038168,0.095488,0.024424,1.000000,1992.565829,0.177944,0.000000,0.229093,2017.019824,1.063369
CRI,1,0.135730,0.064614,0.192293,0.035204,0.102297,0.026094,1.000000,1992.828115,0.177596,0.000000,0.239469,2016.650338,0.899385
CRI,1,0.142944,0.062632,0.185129,0.034082,0.103381,0.026131,1.000000,1997.354846,0.204500,0.000000,0.236484,2016.491338,0.912311
CRI,1,0.181827,0.070324,0.259816,0.047752,0.070281,0.017613,1.000000,1993.956869,0.198556,0.000000,0.172202,2018.388194,1.055061
CRI,1,0.240439,0.088081,0.193868,0.038781,0.086852,0.021906,1.000000,1995.148930,0.174371,0.000000,0.206820,2017.195308,0.955417
CRI,1,0.146337,0.062821,0.236226,0.040585,0.093395,0.023790,1.000000,1992.955895,0.197588,0.000000,0.223314,2017.303892,0.871352
CRI,1,0.134757,0.057958,0.196847,0.036365,0.090547,0.021668,1.000000,1994.297189,0.208686,0.000000,0.190247,2016.837548,0.988715
CRI,1,0.201871,0.064748,0.177326,0.031401,0.118468,0.030553,1.000000,1993.491500,0.186117,0.000000,0.271208,2015.771313,0.756493
CRI,1,0.133970,0.068874,0.236886,0.043110,0.081281,0.020386,1.000000,1993.841252,0.195381,0.000000,0.193996,2017.756703,0.974698
CRI,1,0.210472,0.054540,0.331532,0.030223,0.092792,0.023295,1.000000,1995.244645,0.180525,0.000000,0.215301,2015.813621,0.795261
CRI,1,0.127414,0.073818,0.181219,0.043252,0.091933,0.023193,1.000000,1993.116729,0.197374,0.000000,0.216103,2017.672266,0.948806
CRI,1,0.177124,0.055281,0.193081,0.037042,0.094854,0.023564,1.000000,1994.717338,0.182725,0.000000,0.213872,2019.510126,0.928568
CRI,1,0.131757,0.072562,0.232216,0.039524,0.091162,0.023092,1.000000,1993.416250,0.195825,0.000000,0.216639,2016.103307,0.888506
CRI,1,0.108812,0.059620,0.199262,0.034850,0.085730,0.019787,1.000000,1994.115862,0.206124,0.000000,0.370914,2016.759690,0.993011
CRI,1,0.174890,0.066311,0.202889,0.034870,0.076187,0.037445,1.000000,1993.554987,0.203618,0.000000,0.238102,2016.707521,1.016804
CRI,1,0.127965,0.065191,0.222135,0.039534,0.097635,0.018189,1.000000,1993.986205,0.189939,0.000000,0.233659,2017.306817,0.874827
CRI,1,0.164477,0.052681,0.185656,0.049632,0.091391,0.023406,1.000000,1995.023422,0.185616,0.000000,0.257106,2016.473760,0.980708
CRI,1,0.125901,0.071746,0.229051,0.034166,0.090537,0.023076,1.000000,1993.380590,0.197469,0.000000,0.226700,2017.375329,0.892876
CRI,1,0.112901,0.067677,0.192004,0.036011,0.087811,0.022475,1.000000,1994.955260,0.189362,0.000000,0.250916,2016.861848,0.977401
CRI,1,0.131862,0.068782,0.245970,0.043205,0.076171,0.019838,1.000000,1989.619827,0.180541,0.000000,0.239580,2017.724272,0.945479
CRI,1,0.097062,0.059692,0.194173,0.035090,0.076162,0.018203,1.000000,1993.201680,0.203918,0.000000,0.207072,2016.686098,1.059960
CRI,1,0.083625,0.054670,0.175441,0.031953,0.065805,0.014749,1.000000,1992.966503,0.216281,0.000000,0.180933,2016.238727,1.188247
CRI,1,0.107670,0.068591,0.182887,0.037699,0.074725,0.018598,1.000000,1994.342305,0.214125,0.000000,0.233752,2017.107419,0.841387
