country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.115637,0.055887,0.289302,0.064602,0.065613,0.022667,0.325414,1994.420877,0.140354,0.025809,0.172891,2018.110902,0.710697
CRI,1,0.048376,0.071902,0.322867,0.043756,0.059975,0.022361,0.355564,1989.964040,0.144405,0.025665,0.166042,2019.249194,0.775991
CRI,1,0.077293,0.069688,0.311157,0.046318,0.044456,0.019210,0.339248,1989.248540,0.151322,0.031325,0.193584,2019.587975,0.737306
CRI,1,0.081914,0.054159,0.303180,0.047175,0.046847,0.022252,0.354112,1988.818225,0.139459,0.032561,0.201813,2018.037532,1.187740
CRI,1,0.055664,0.059591,0.307330,0.048031,0.052218,0.022120,0.349939,1989.889565,0.141682,0.029946,0.187323,2018.492985,0.971511
CRI,1,0.072851,0.073301,0.361783,0.062053,0.084361,0.017049,0.381288,1985.514311,0.115546,0.024230,0.140284,2018.764959,0.847512
CRI,1,0.114153,0.067004,0.300267,0.041405,0.060601,0.022632,0.295956,1985.907166,0.160251,0.031521,0.205687,2018.921757,0.860711
CRI,1,0.044037,0.066131,0.325382,0.054592,0.061162,0.020701,0.374002,1991.692735,0.131880,0.024821,0.156550,2018.869696,0.778535
CRI,1,0.096511,0.062811,0.325072,0.055095,0.084939,0.023899,0.360509,1990.817502,0.127930,0.021229,0.146506,2018.029826,0.885175
CRI,1,0.046371,0.067881,0.314606,0.048399,0.052935,0.020312,0.344503,1989.645683,0.145122,0.029086,0.180847,2019.211395,0.772498
CRI,1,0.075974,0.082758,0.222113,0.050658,0.072277,0.017072,0.418884,1993.145192,0.122773,0.023568,0.155433,2019.145569,0.894943
CRI,1,0.049295,0.074539,0.263735,0.050532,0.067264,0.018977,0.385989,1991.722501,0.130333,0.025128,0.161920,2019.011652,0.852899
CRI,1,0.081427,0.062082,0.248460,0.039117,0.042783,0.026094,0.328749,1995.389649,0.168640,0.028991,0.205800,2019.028524,0.778747
CRI,1,0.042528,0.070267,0.331308,0.055518,0.072240,0.019048,0.367811,1988.182248,0.127082,0.025483,0.154845,2018.831220,0.829943
CRI,1,0.052391,0.057464,0.301471,0.053327,0.055725,0.020574,0.391570,1988.205310,0.232481,0.030799,0.126329,2019.175657,0.788210
CRI,1,0.134097,0.078095,0.322457,0.063327,0.066383,0.024893,0.414044,1987.326178,0.112619,0.006124,0.154031,2020.372823,0.778940
CRI,1,0.048208,0.061933,0.296790,0.045982,0.059098,0.019571,0.340510,1991.315336,0.167025,0.033274,0.166014,2018.330094,0.822768
CRI,1,0.071574,0.072970,0.276774,0.046807,0.054410,0.022797,0.380314,1988.433088,0.139417,0.034307,0.154702,2018.880214,0.782819
CRI,1,0.040623,0.064037,0.315900,0.052529,0.064133,0.020475,0.355563,1990.769280,0.151630,0.022966,0.165295,2019.028472,0.819596
CRI,1,0.071223,0.068451,0.371331,0.054107,0.063527,0.017321,0.266069,1993.329161,0.132820,0.027439,0.140186,2019.675882,0.882625
CRI,1,0.050605,0.065928,0.278863,0.049425,0.060059,0.022844,0.405413,1988.705644,0.154063,0.026736,0.171244,2018.702646,0.780118
CRI,1,0.060871,0.077364,0.299443,0.049528,0.056309,0.019527,0.372795,1990.428787,0.162218,0.028542,0.155170,2017.954324,0.826105
CRI,1,0.048487,0.072162,0.302407,0.050129,0.058505,0.020211,0.366525,1990.315252,0.155082,0.027815,0.157925,2018.450684,0.818945
CRI,1,0.064641,0.079160,0.302635,0.053937,0.071439,0.019454,0.373623,1990.581398,0.157418,0.023502,0.133186,2019.359168,0.650870
CRI,1,0.041791,0.063831,0.306152,0.049456,0.056641,0.021430,0.355792,1990.063514,0.145473,0.028453,0.172397,2018.713528,0.883055
CRI,1,0.046897,0.059923,0.312902,0.047716,0.059401,0.018541,0.409805,1989.426731,0.162917,0.029532,0.197055,2018.640321,0.774695
CRI,1,0.057151,0.057048,0.299470,0.045918,0.057048,0.019384,0.407938,1988.767592,0.169292,0.030455,0.158940,2018.560143,0.888601
CRI,1,0.040766,0.071320,0.308839,0.052185,0.062219,0.020910,0.352815,1990.627924,0.144282,0.026080,0.166661,2018.998360,0.769090
CRI,1,0.076904,0.079438,0.311198,0.046714,0.066632,0.020266,0.344295,1992.138944,0.090529,0.023153,0.219236,2018.494819,0.824024
CRI,1,0.041819,0.062119,0.303887,0.051608,0.058327,0.020497,0.379503,1989.219666,0.184953,0.029057,0.145857,2019.007905,0.797059
CRI,1,0.045298,0.068019,0.339708,0.050810,0.061680,0.017851,0.327452,1991.755920,0.142967,0.028048,0.160073,2019.023764,0.835366
CRI,1,0.045517,0.059493,0.370968,0.049744,0.054065,0.021340,0.335951,1988.747340,0.171398,0.029958,0.168994,2018.717024,0.760926
CRI,1,0.058996,0.059447,0.339150,0.050080,0.061584,0.020237,0.349549,1989.945369,0.146670,0.027828,0.175147,2019.312370,0.783531
CRI,1,0.037116,0.068674,0.311387,0.050117,0.059265,0.020218,0.362246,1990.223062,0.152938,0.027818,0.162099,2018.670015,0.809989
CRI,1,0.060810,0.059218,0.316245,0.058420,0.059969,0.017928,0.361540,1990.339680,0.159008,0.030159,0.166015,2018.417616,0.832624
CRI,1,0.043644,0.068422,0.321205,0.047108,0.059973,0.021184,0.357053,1990.058239,0.147935,0.026850,0.166035,2019.044971,0.789887
CRI,1,0.053976,0.069770,0.347474,0.055941,0.061003,0.020815,0.379882,1988.741017,0.134623,0.020223,0.166047,2019.446675,0.780085
CRI,1,0.039719,0.063779,0.309070,0.048327,0.059570,0.019877,0.350161,1990.685476,0.158310,0.030508,0.166022,2018.615800,0.811948
CRI,1,0.050930,0.073020,0.329807,0.054083,0.060723,0.022184,0.304148,1990.863701,0.137400,0.025325,0.134854,2019.146519,0.834806
CRI,1,0.045928,0.062885,0.317086,0.049249,0.059729,0.019406,0.382052,1989.790163,0.156156,0.028533,0.179746,2018.768229,0.789427
CRI,1,0.070965,0.063472,0.328483,0.053489,0.069103,0.020138,0.372155,1990.674117,0.156208,0.025725,0.147574,2018.497557,0.840090
CRI,1,0.039009,0.066742,0.318046,0.049633,0.056702,0.020269,0.351321,1989.904950,0.147823,0.028279,0.172025,2019.035651,0.789024
CRI,1,0.039001,0.069226,0.326120,0.052649,0.061065,0.021220,0.330196,1990.551261,0.143846,0.026284,0.147395,2018.991849,0.822338
CRI,1,0.052338,0.075329,0.269249,0.052624,0.068515,0.019277,0.374916,1991.840468,0.127087,0.023995,0.153498,2019.087515,0.863238
CRI,1,0.041624,0.063006,0.344030,0.050452,0.057459,0.020809,0.345497,1989.540240,0.159147,0.028570,0.165009,2018.810377,0.785659
CRI,1,0.041212,0.064785,0.297696,0.051467,0.059619,0.023531,0.387183,1988.452892,0.155328,0.026243,0.162950,2018.746026,0.778968
CRI,1,0.050225,0.066395,0.306786,0.047382,0.059872,0.020840,0.341922,1987.960986,0.172818,0.029548,0.167693,2018.880658,0.835897
CRI,1,0.040113,0.066196,0.320679,0.052713,0.060838,0.020735,0.365857,1990.788133,0.141167,0.026067,0.159279,2018.872437,0.792608
CRI,1,0.045479,0.063844,0.310777,0.055914,0.061205,0.020290,0.359996,1989.791190,0.153070,0.027560,0.157034,2018.674544,0.824553
CRI,1,0.036325,0.067238,0.318581,0.049198,0.060279,0.020958,0.357788,1989.991619,0.149203,0.027029,0.163748,2018.953093,0.798456
CRI,1,0.042577,0.061775,0.298979,0.046489,0.048654,0.022876,0.347708,1991.889399,0.182541,0.029080,0.169905,2018.910485,0.779577
CRI,1,0.044397,0.068008,0.323063,0.053141,0.065752,0.019956,0.362736,1989.135969,0.139241,0.026420,0.158506,2018.851069,0.817146
CRI,1,0.036649,0.067951,0.314973,0.049656,0.059771,0.020585,0.360014,1990.107487,0.151060,0.027426,0.162922,2018.812112,0.804208
CRI,1,0.036381,0.068223,0.322340,0.050900,0.060671,0.021089,0.343852,1990.272314,0.146502,0.026659,0.155398,2018.972482,0.810335
CRI,1,0.045892,0.066989,0.318314,0.049415,0.058472,0.020611,0.354547,1989.948304,0.148512,0.027660,0.167846,2018.994422,0.793730
CRI,1,0.041530,0.065478,0.313806,0.048761,0.059924,0.020412,0.353965,1990.339906,0.153695,0.028821,0.164882,2018.785233,0.805182
CRI,1,0.036497,0.066715,0.319629,0.050931,0.060558,0.020846,0.361812,1990.391680,0.145133,0.026552,0.161501,2018.912812,0.795528
