"pais","iso3","anio","indicador","codigo_indicador","tipo","modelo","valor","unidad","cobertura_institucional","fuente","nota"
"Chile","CHL",2020,"Balance primario","GGXONLB_NGDP","Observado",NA,-6.575,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2021,"Balance primario","GGXONLB_NGDP","Observado",NA,-6.903,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2022,"Balance primario","GGXONLB_NGDP","Observado",NA,1.84,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2023,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.913,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2024,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.977,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2025,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9264,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2026,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9241,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2027,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9221,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2028,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9205,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2029,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9191,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2030,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.918,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2031,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.917,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2032,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9162,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2033,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9155,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2034,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",-1.9149,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2000,"Balance primario","GGXONLB_NGDP","Observado",NA,0.776,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2001,"Balance primario","GGXONLB_NGDP","Observado",NA,1.505,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2002,"Balance primario","GGXONLB_NGDP","Observado",NA,0.295,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2003,"Balance primario","GGXONLB_NGDP","Observado",NA,1.289,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2004,"Balance primario","GGXONLB_NGDP","Observado",NA,1.387,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2005,"Balance primario","GGXONLB_NGDP","Observado",NA,2.062,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2006,"Balance primario","GGXONLB_NGDP","Observado",NA,1.692,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2007,"Balance primario","GGXONLB_NGDP","Observado",NA,1.846,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2008,"Balance primario","GGXONLB_NGDP","Observado",NA,2.2,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2009,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.052,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2010,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.252,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2011,"Balance primario","GGXONLB_NGDP","Observado",NA,0.089,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2012,"Balance primario","GGXONLB_NGDP","Observado",NA,1.821,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2013,"Balance primario","GGXONLB_NGDP","Observado",NA,0.947,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2014,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.161,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2015,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.715,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2016,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.351,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2017,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.497,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2018,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.493,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2019,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.011,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2020,"Balance primario","GGXONLB_NGDP","Observado",NA,-4.39,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2021,"Balance primario","GGXONLB_NGDP","Observado",NA,-4.352,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2022,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.359,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2023,"Balance primario","GGXONLB_NGDP","Observado",NA,0.567,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2024,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.802,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2025,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2026,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2027,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2028,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2029,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2030,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2031,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2032,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2033,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Colombia","COL",2034,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",-0.8091,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2000,"Balance primario","GGXONLB_NGDP","Observado",NA,0.529,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2001,"Balance primario","GGXONLB_NGDP","Observado",NA,1.088,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2002,"Balance primario","GGXONLB_NGDP","Observado",NA,0.002,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2003,"Balance primario","GGXONLB_NGDP","Observado",NA,1.416,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2004,"Balance primario","GGXONLB_NGDP","Observado",NA,1.361,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2005,"Balance primario","GGXONLB_NGDP","Observado",NA,2.021,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2006,"Balance primario","GGXONLB_NGDP","Observado",NA,2.718,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2007,"Balance primario","GGXONLB_NGDP","Observado",NA,3.58,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2008,"Balance primario","GGXONLB_NGDP","Observado",NA,2.281,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2009,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.208,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2010,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.928,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2011,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.831,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2012,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.229,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
