CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
11,Guanajuato,Límite superior de confianza,6563781.32,3439234.92,3126929.97,1524649.73,4434869.16,618800,1826031.57,30.61,60.18,48.57,34.75,14.20,2.04,1.35,36.48,34.42,52.22,50.43,12.14,16.22,0.38
11,Guanajuato,Coeficiente de variación,1.33,1.36,1.34,1.61,1.31,2.3,1.36,0.48,2.19,0.78,0.96,2.04,0.62,2.62,0.48,0.64,0.45,0.54,1.23,1.25,4.58
12,Guerrero,Valor,3404404,1793674,1610730,868969,2165445,369447,889766,29.86,60.18,57.19,40.13,17.06,2.38,1.59,33.72,30.55,51.95,49.96,14.31,19.48,0.37
12,Guerrero,Error estándar,49801.31,26516.78,23440.21,11051.85,33250.27,6750.08,13402.52,0.14,0.88,0.31,0.30,0.20,0.01,0.03,0.15,0.19,0.19,0.22,0.12,0.17,0.01
12,Guerrero,Límite inferior de confianza,3322485.9,1750056.57,1572173.22,850789.76,2110751.65,358343.71,867720.17,29.63,58.73,56.69,39.64,16.74,2.36,1.54,33.48,30.23,51.64,49.59,14.11,19.20,0.35
12,Guerrero,Límite superior de confianza,3486322.1,1837291.43,1649286.78,887148.24,2220138.35,380550.29,911811.83,30.09,61.63,57.69,40.62,17.38,2.40,1.63,33.97,30.87,52.26,50.33,14.51,19.76,0.39
12,Guerrero,Coeficiente de variación,1.46,1.48,1.46,1.27,1.54,1.83,1.51,0.47,1.46,0.53,0.75,1.15,0.51,1.65,0.44,0.64,0.36,0.45,0.85,0.86,3.10
13,Hidalgo,Valor,3237527,1712521,1525006,680117,2206428,350974,895580,32.96,74.31,46.73,30.82,15.91,2.00,1.13,35.11,32.75,51.22,48.82,13.21,17.97,0.37
13,Hidalgo,Error estándar,33273.53,17729.24,15660.13,6848.85,23232.08,4242.39,9405.45,0.08,0.72,0.20,0.15,0.14,0.01,0.02,0.09,0.12,0.11,0.13,0.08,0.11,0.01
13,Hidalgo,Límite inferior de confianza,3182795.04,1683357.99,1499246.49,668851.19,2168213.3,343995.59,880108.84,32.84,73.13,46.41,30.58,15.68,1.99,1.10,34.96,32.54,51.03,48.60,13.09,17.79,0.35
13,Hidalgo,Límite superior de confianza,3292258.96,1741684.01,1550765.51,691382.81,2244642.7,357952.41,911051.16,33.09,75.49,47.05,31.07,16.14,2.01,1.15,35.27,32.95,51.41,49.03,13.34,18.16,0.38
13,Hidalgo,Coeficiente de variación,1.03,1.04,1.03,1.01,1.05,1.21,1.05,0.23,0.97,0.42,0.49,0.88,0.32,1.51,0.27,0.38,0.22,0.27,0.58,0.63,2.70
14,Jalisco,Valor,8633761,4443998,4189763,1879882,5885763,868087,2328888,31.48,66.27,46.69,31.94,14.75,1.94,1.23,38.64,35.97,48.57,47.19,12.73,16.76,0.30
14,Jalisco,Error estándar,149989.99,77664.21,73059.63,36104.58,105829.73,15661.82,43101.03,0.15,1.20,0.30,0.26,0.25,0.01,0.03,0.15,0.19,0.19,0.23,0.13,0.18,0.01
