LocID,ISO3,country,year,un_published,un_method,tfr1,tfr1_0_14,tfr1_65p,un_0_14,un_65p,tfr2025,tfr2025_un
32,ARG,Argentina,2045,48.191841000000004,48.096853138827335,44.802798081429266,5.020148522582252,8.630815899133736,7.6531669375212585,8.630815899133736,1.23,1.5047
32,ARG,Argentina,2050,48.308944000000004,48.20085372872118,44.04470301259826,4.811188570392191,9.586150177402553,7.432073871098142,9.586150177402553,1.23,1.5047
32,ARG,Argentina,2055,48.122229,48.011315328085445,42.97594179926769,4.4133259125231605,10.517830350871323,7.035357907562864,10.517830350871323,1.23,1.5047
32,ARG,Argentina,2060,47.638688,47.536268731118035,41.57229978276632,3.866012457091638,11.484776759838253,6.551332712603297,11.484776759838253,1.23,1.5047
32,ARG,Argentina,2065,46.943411999999995,46.837870146084924,39.87168600081067,3.292491605020595,12.282911138164891,6.1232799173478805,12.282911138164891,1.23,1.5047
32,ARG,Argentina,2070,46.100474000000006,45.98149966382244,37.95452568451697,2.8272856299447193,12.923820187676183,5.845465219541655,12.923820187676183,1.23,1.5047
32,ARG,Argentina,2075,45.115122,44.98142478097414,35.880929877097095,2.52078437186747,13.564824771433363,5.691329070014123,13.564824771433363,1.23,1.5047
32,ARG,Argentina,2080,43.976228000000006,43.834728058491514,33.682797221871866,2.3195023143419102,14.243411002713756,5.549846389858104,14.243411002713756,1.23,1.5047
32,ARG,Argentina,2085,42.677133999999995,42.540028785833755,31.36898463139978,2.1335931607369734,14.531717718486268,5.337868162461551,14.531717718486268,1.23,1.5047
32,ARG,Argentina,2090,41.255036999999994,41.12542218424113,28.9618256938916,1.917943135697667,14.016046499215639,5.06412979612965,14.016046499215639,1.23,1.5047
32,ARG,Argentina,2095,39.761858999999994,39.63782636625884,26.498040360853746,1.684221415219198,12.904755178182409,4.788642547175716,13.514811699435803,1.23,1.5047
32,ARG,Argentina,2100,38.25599,38.13362438783399,24.03417556258134,1.4682843447553646,11.683862195598527,4.563008751512776,13.084709671566882,1.23,1.5047
68,BOL,Bolivia (Plurinational State of),2025,12.581843000000001,12.581846999999998,12.581846999999998,3.704135,0.722206,3.704135,0.722206,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2030,13.405564,13.400913458751424,12.929948973424088,3.2615896145804624,0.8465724055025613,3.7325540999077984,0.8465724055025613,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2035,14.183823,14.174307979811214,12.98610945574724,2.5659391329341252,0.994738776463376,3.7541376569980995,0.994738776463376,2.06,2.4973
