RAMO_K,mdp_2026,mdp_2027,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
05,2422.6,2145.1,-277.5,-374.4,-14.9,continúa,programa,P016,,,,,
13,2137.3,1865.7,-271.6,-357.1,-16.1,continúa,programa,A020,,,,,
TYY,1212.0,948.2,-263.8,-312.3,-24.8,continúa,programa,007 ,,,,,
09,405.2,160.0,-245.2,-261.4,-62.0,continúa,programa,P022,,,,,
09,369.2,125.2,-244.0,-258.7,-67.4,continúa,programa,G009,,,,,
08,4576.6,4337.3,-239.3,-422.3,-8.9,continúa,programa,P021,,,,,
11,238.2,0.0,-238.2,-247.8,-100.0,desaparece,programa,E084,,,,,
20,509.6,277.9,-231.8,-252.1,-47.6,continúa,programa,U011,,,,,
55,283.1,69.0,-214.1,-225.5,-76.6,continúa,programa,P060,,,,,
GYN,3994.2,3799.9,-194.3,-354.1,-8.5,continúa,programa,074 ,,,,,
27,846.3,665.5,-180.8,-214.7,-24.4,continúa,programa,O001,,,,,
49,178.8,0.0,-178.8,-185.9,-100.0,desaparece,programa,K022,,,,,
35,959.4,782.9,-176.5,-214.9,-21.5,continúa,programa,E002,,,,,
19,174.8,0.4,-174.3,-181.3,-99.8,continúa,programa,U004,,,,,
GYN,188.1,14.3,-173.9,-181.4,-92.7,continúa,programa,018 ,,,,,
20,40664.0,40500.0,-164.0,-1790.6,-4.2,continúa,programa,S287,,,,,
49,2589.8,2440.1,-149.6,-253.2,-9.4,continúa,programa,M001,,,,,
23,1512.1,1370.0,-142.1,-202.6,-12.9,continúa,programa,R016,,,,,
23,1488.8,1349.0,-139.9,-199.4,-12.9,continúa,programa,R028,,,,,
21,135.9,0.0,-135.9,-141.3,-100.0,desaparece,programa,E050,,,,,
04,3186.9,3053.2,-133.7,-261.2,-7.9,continúa,programa,P005,,,,,
18,128.6,0.0,-128.6,-133.8,-100.0,desaparece,programa,G017,,,,,
27,430.3,302.4,-127.9,-145.1,-32.4,continúa,programa,P044,,,,,
09,146.4,21.4,-125.1,-130.9,-86.0,continúa,programa,G008,,,,,
09,3120.9,3000.0,-120.9,-245.8,-7.6,continúa,programa,U004,,,,,
40,150.6,32.6,-118.0,-124.0,-79.2,continúa,programa,P004,,,,,
49,116.5,0.0,-116.5,-121.2,-100.0,desaparece,programa,E010,,,,,
11,3090.0,2986.6,-103.4,-227.0,-7.1,continúa,programa,U083,,,,,
06,102.9,0.0,-102.9,-107.1,-100.0,desaparece,programa,E087,,,,,
13,128.6,26.7,-101.9,-107.0,-80.0,continúa,programa,O001,,,,,
