WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	Estimates Start After	Unnamed: 61
233	COL	NGDP_RPCH	Colombia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.429	2.277	0.948	1.574	3.351	3.107	5.824	5.369	4.064	3.414	4.282	2.372	4.353	5.710	5.147	5.202	2.056	3.430	0.570	-4.204	2.925	1.678	2.504	3.918	5.333	4.447	6.717	6.738	3.283	1.140	4.495	6.948	3.913	5.134	4.499	2.956	2.087	1.359	2.564	3.187	-7.186	10.801	7.328	0.712	1.744	2.415	2.625	2.760	2.760	2.760	2.760	2024	
233	COL	NGDP	Colombia	Gross domestic product, current prices	Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	National currency	Billions	Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimati Chain-weighted: Yes, from 2005 Primary domestic currency: Colombian peso Data last updated: 04/10/2025	2,198.496	2,760.456	3,476.788	4,252.031	5,369.213	6,913.602	9,450.328	12,285.517	16,332.617	21,059.719	28,161.996	36,346.267	46,660.317	61,115.904	80,724.103	100,932.959	120,383.436	145,481.500	167,925.734	181,171.023	207,268.000	224,483.000	243,837.000	270,695.000	305,896.000	337,957.000	381,604.000	428,506.000	476,554.000	501,574.000	544,060.000	619,023.000	666,508.000	714,094.000	762,903.000	804,692.000	863,782.000	920,471.000	987,791.000	1,060,068.000	998,471.000	1,192,634.000	1,471,079.000	1,584,562.000	1,705,323.000	1,828,668.184	1,937,383.766	2,050,581.225	2,170,392.585	2,297,204.282	2,431,425.334	2024	
233	COL	NGDP_D	Colombia	Gross domestic product, deflator	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.	Index	Units	See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	0.930	1.142	1.425	1.716	2.096	2.618	3.382	4.172	5.330	6.646	8.522	10.744	13.217	16.377	20.572	24.451	28.575	33.387	38.320	43.156	47.970	51.097	54.146	57.844	62.056	65.641	69.454	73.067	78.677	81.874	84.989	90.417	93.688	95.475	97.609	100.000	105.148	110.546	115.665	120.295	122.078	131.602	151.244	161.759	171.103	179.152	184.948	190.496	196.211	202.097	208.160	2024	
233	COL	PCPIPCH	Colombia	Inflation, average consumer prices	Annual percentages of average consumer prices are year-on-year changes.	Percent change	Units	See notes for:  Inflation, average consumer prices (Index).	25.932	27.393	24.860	19.526	16.283	23.906	18.848	23.334	28.100	25.935	29.115	30.318	27.020	22.449	22.851	20.884	20.803	18.476	18.650	10.876	9.218	7.958	6.350	7.120	5.906	5.048	4.303	5.543	7.001	4.193	2.268	3.415	3.174	2.022	2.905	4.991	7.507	4.312	3.242	3.521	2.527	3.504	10.184	11.729	6.602	4.693	3.069	3.046	3.010	2.965	3.022	2024	
233	COL	GGR_NGDP	Colombia	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government revenue (National currency).	0.046	0.036	10.747	11.270	11.442	12.210	12.230	14.120	13.653	16.259	17.042	18.041	18.341	19.763	20.434	21.198	22.574	22.950	22.477	22.892	23.642	24.798	24.622	25.312	25.320	25.869	27.449	27.342	28.471	28.240	27.047	28.240	29.247	28.978	29.517	27.757	27.720	26.825	29.990	29.397	26.588	27.217	27.747	32.224	28.212	28.090	27.872	28.146	28.476	28.710	28.902	2024	
233	COL	GGX_NGDP	Colombia	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP	Units	See notes for:  General government total expenditure (National currency).			15.055	15.067	15.312	14.696	14.171	14.721	14.551	17.711	17.448	17.691	18.408	20.003	20.572	22.196	25.069	26.176	26.341	28.259	26.579	27.507	28.074	28.014	26.632	25.889	28.441	28.162	28.429	30.914	30.350	30.233	29.093	29.998	31.261	31.277	29.994	29.320	34.658	32.879	33.545	34.302	33.913	35.448	32.940	32.535	31.141	31.120	31.312	31.262	31.362	2024	
233	COL	GGXCNL_NGDP	Colombia	General government net lending/borrowing	Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government net lending/borrowing (National currency).			-4.307	-3.797	-3.870	-2.486	-1.941	-0.600	-0.898	-1.452	-0.406	0.350	-0.067	-0.240	-0.138	-0.999	-2.495	-3.227	-3.864	-5.367	-2.937	-2.709	-3.452	-2.702	-1.311	-0.021	-0.993	-0.820	0.042	-2.674	-3.303	-1.993	0.155	-1.021	-1.744	-3.520	-2.274	-2.496	-4.668	-3.482	-6.957	-7.085	-6.165	-3.224	-4.728	-4.445	-3.269	-2.974	-2.836	-2.552	-2.460	2024	
233	COL	GGXONLB_NGDP	Colombia	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP	Units	See notes for:  General government primary net lending/borrowing (National currency).										1.139	2.396	3.387	2.665	2.084	1.719	0.928	-0.215	-1.065	-1.072	-2.213	0.776	1.505	0.295	1.289	1.387	2.062	1.692	1.846	2.200	-1.052	-1.252	0.089	1.821	0.947	-0.161	-1.715	-0.351	-0.497	-2.493	-1.011	-4.390	-4.352	-2.359	0.567	-0.802	-0.236	0.505	0.698	0.728	0.787	0.785	2024	
233	COL	GGXWDN_NGDP	Colombia	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP	Units	See notes for:  General government net debt (National currency).																				26.616	31.575	33.270	40.672	37.724	32.722	28.138	25.439	22.611	22.432	26.308	28.493	27.180	24.794	26.866	31.743	40.611	38.719	38.655	41.242	41.654	54.185	54.770	52.634	48.042	53.175	52.080	52.603	52.963	53.130	53.000	52.787	2024	
233	COL	GGXWDG_NGDP	Colombia	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP	Units	See notes for:  General government gross debt (National currency).																	23.286	25.263	27.454	33.983	37.988	41.095	47.546	45.040	41.482	38.533	35.969	32.663	32.382	35.387	36.497	35.783	33.967	37.592	43.319	50.375	49.904	49.449	51.761	50.972	65.274	64.417	61.300	55.457	61.277	59.724	59.903	59.910	59.767	59.352	58.867	2024	
