year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2020,25-29,0.1024014428585254,0.003475309349779326,0.4634573014883989,0.0065248559235138014,0.0982,0.4989
2021,25-29,0.09406812278866455,0.0032764075364865074,0.46349508544912427,0.0048102580167741485,0.0921,0.4858
2022,25-29,0.08749861750853331,0.0038499684857200046,0.46207634665182157,0.003843233632738903,0.092,0.4686
2023,25-29,0.08193913346482645,0.003847762873952599,0.4596139173433348,0.003827765327847344,0.0817,0.4654
2024,25-29,0.07754714226328856,0.002896203902579193,0.4568878802958932,0.005698229527969811,0.0813,0.4526
2008,30-34,0.2729351428059327,0.005574860659931363,0.4107407583468019,0.0052931415308945535,0.2708,0.4117
2009,30-34,0.2630717565841201,0.004674950892614433,0.4189647331831157,0.00506793893808234,0.2587,0.4279
2010,30-34,0.2559866664192629,0.004613960251663333,0.4217460463823026,0.0055435192302175544,0.2605,0.4215
2011,30-34,0.24783901870207709,0.004790502913227437,0.42765131846261206,0.005414737801375756,0.2451,0.4355
2012,30-34,0.24074919524259147,0.004915360424525674,0.4342711708707394,0.006739781267758731,0.2369,0.4386
2013,30-34,0.2319194567247567,0.005637556926647181,0.441381486264371,0.0071960014083227814,0.2369,0.4408
2014,30-34,0.22177594637767373,0.005132885601664365,0.4438867375622489,0.007571294108748501,0.2269,0.4426
2015,30-34,0.21073516144730767,0.004915538995502002,0.44765378727122207,0.006927377449254031,0.2227,0.4481
2016,30-34,0.200942998888863,0.0050701606245966814,0.45199690396393377,0.007380206625997543,0.2244,0.4529
2017,30-34,0.18989542451088703,0.00448299366068148,0.4593562328137353,0.005577246162117607,0.2095,0.4667
2018,30-34,0.17981640463771517,0.005508529608910858,0.4650195437797454,0.005133124681689832,0.2029,0.4838
2019,30-34,0.17974255593889965,0.005297495761392241,0.46692441428091885,0.005193132063894553,0.2031,0.4749
2020,30-34,0.17581167914919255,0.005634130939684549,0.467649246833323,0.005919354116605123,0.1804,0.4964
2021,30-34,0.16958968269140887,0.005170881439083212,0.46897765594569657,0.005940755946782075,0.1623,0.4842
2022,30-34,0.1613407559725556,0.0048348944134149995,0.4707020719054832,0.004195965191415967,0.1733,0.4607
2023,30-34,0.14984941291780313,0.0037054098647170803,0.4755776483235559,0.0066797003167667875,0.16,0.4702
2024,30-34,0.1383290956098346,0.0038080960341026764,0.4805564895954825,0.005999740634817928,0.1547,0.4576
2008,35-39,0.3298446988417724,0.006965488463137167,0.3679849911320619,0.007193184321830774,0.3324,0.3668
2009,35-39,0.32807893618291584,0.0067318596267861575,0.3813395250843187,0.00512502093072574,0.3151,0.392
2010,35-39,0.32450483691519616,0.005742117011838938,0.39432309606166155,0.0046046008133231175,0.3092,0.3956
2011,35-39,0.32106471012163473,0.005353674351773319,0.40224970554720363,0.005703897514694772,0.2922,0.4007
2012,35-39,0.3162737684656773,0.005463302955085118,0.4074741952260229,0.006123464822745107,0.2889,0.4167
2013,35-39,0.3147154103380562,0.004370632343458849,0.4103670433636568,0.004990816050018188,0.2779,0.4145
2014,35-39,0.3051288701932201,0.004244992238702542,0.41462450907370363,0.005557378051497548,0.2717,0.417
2015,35-39,0.2989850622105118,0.004099253772163185,0.41710992900628674,0.00495305514151631,0.2789,0.411
2016,35-39,0.2910096838012937,0.005786444618837296,0.4226633247088558,0.005214565291966599,0.272,0.4215
2017,35-39,0.2826718983636714,0.004983090451088899,0.4269413012563882,0.006494332947315907,0.2646,0.4263
2018,35-39,0.2739405146185464,0.006119260152963994,0.4314215676272678,0.006508409065672287,0.259,0.4237
2019,35-39,0.26384395477524597,0.005758121200544379,0.433696234756012,0.00644848802415276,0.2571,0.4335
2020,35-39,0.25114312587403725,0.006168800547814173,0.4380247461995024,0.004879491392789871,0.2413,0.4414
2021,35-39,0.23938621768581547,0.006429205670606654,0.44494044308769104,0.0052221299343335045,0.2332,0.4401
2022,35-39,0.22588147644158799,0.004949522694469681,0.45314734105488247,0.005884741352054505,0.2314,0.4332
2023,35-39,0.21236528541217017,0.005326973867726868,0.46067204946092954,0.004414474177695621,0.2285,0.4263
2024,35-39,0.20789496820335093,0.0055032140518124165,0.46182522406879783,0.004678731958679494,0.216,0.4277
