decile,class,w,share,year
10,preventive,317890321.556409,0.0177531820253658,2022
6,preventive,116449530.335192,0.0265551589150228,2022
5,preventive,83874728.964379,0.0237716275203159,2022
7,preventive,113838451.697791,0.0241139514760996,2022
8,preventive,175584194.759684,0.0271535010414446,2022
3,preventive,56800404.8515926,0.0213100386290368,2022
9,preventive,156020960.105624,0.0203812698463649,2022
2,preventive,54564798.8622742,0.0221711143514994,2022
1,preventive,51945382.0961207,0.0225653391234345,2022
8,ambiguous,2391478520.75117,0.3698340536441,2022
4,ambiguous,1079156659.89394,0.360501941752606,2022
5,ambiguous,1247942318.58155,0.353689607471146,2022
3,ambiguous,1002767807.04662,0.376212471723587,2022
9,ambiguous,2933703849.46331,0.383234469040266,2022
10,ambiguous,8620438030.36877,0.481424551531575,2022
6,ambiguous,1651709630.47919,0.376655977852347,2022
7,ambiguous,1650097973.41633,0.349533763577564,2022
1,ambiguous,804091675.65981,0.349301528170863,2022
2,ambiguous,858864749.528462,0.348979359794415,2022
9,curative,4750877147.41,0.512452683891815,2024
4,curative,2198548645.52,0.599193801042591,2024
10,curative,8681948977.46,0.459214294771977,2024
8,curative,3816378512.12,0.564913653096544,2024
3,curative,1999351177.98,0.600414388269074,2024
7,curative,2858982804.5,0.558266142010579,2024
6,curative,2989872034.6,0.58713879702317,2024
5,curative,2676116788.84,0.591400648605642,2024
2,curative,1818274506.5,0.60603408472382,2024
1,curative,1518615801.21,0.602208137713,2024
4,preventive,80455907.5,0.0219275025501443,2024
7,preventive,118947556.09,0.0232265801443197,2024
5,preventive,97361838.71,0.0215161964540011,2024
3,preventive,65631375,0.0197094048838865,2024
10,preventive,289554796.1,0.0153154207464378,2024
6,preventive,114582536.46,0.0225012481599362,2024
8,preventive,166752347.82,0.0246832639032687,2024
1,preventive,45329854.95,0.0179755850758891,2024
2,preventive,63087422.42,0.0210271486330657,2024
9,preventive,169215751.61,0.0182524328410784,2024
8,ambiguous,2772553820.72,0.410403083000187,2024
6,ambiguous,1987820117.24,0.390359954816894,2024
7,ambiguous,2143252153.19,0.418507277845101,2024
1,ambiguous,957800076.1,0.379816277211111,2024
10,ambiguous,9934590998.1,0.525470284481586,2024
9,ambiguous,4350767214.99,0.469294883267107,2024
4,ambiguous,1390173335.16,0.378878696407265,2024
3,ambiguous,1264969588.48,0.379876206847039,2024
2,ambiguous,1118922299.86,0.372938766643114,2024
5,ambiguous,1751570161.54,0.387083154940357,2024
