id_ramo,id_modalidad,id_pp,desc_pp,anexos,mdp_sumado
49,E,6,Investigar y perseguir los delitos federales de carácter especial y en asuntos internacionales,1,227.8
6,O,1,Actividades de apoyo a la función pública y buen gobierno,1,216.4
10,Q,6,Desarrollo tecnológico y prestación de servicios metrológicos para la competitividad,1,210.7
36,P,49,Política de inteligencia para la Seguridad Nacional,1,188.8
12,O,1,Actividades de apoyo a la función pública y buen gobierno,1,165.2
48,S,320,"Estímulos a la creación artística, reconocimientos a las trayectorias y apoyo al desarrollo de proyectos culturales",1,130.6
11,P,26,Diseño de la Política Educativa y Regulación de los Servicios,1,121.6
40,P,2,Producción y difusión de información estadística y geográfica,1,120.1
56,O,1,Actividades de apoyo a la función pública y buen gobierno,1,118.6
7,Q,3,"Investigación y desarrollo militar en coordinación con universidades públicas, instituciones públicas de educación superior y/o demás centros públicos de investigación superior",1,93.5
7,A,8,Derechos humanos,1,78.3
38,O,1,Actividades de apoyo a la función pública y buen gobierno,1,74.8
10,P,24,Articulación de las políticas y programas del sector Economía,1,65.3
9,G,7,"Supervisión, regulación, inspección, verificación y servicios administrativos de construcción y conservación de carreteras",1,60.8
48,O,1,Actividades de apoyo a la función pública y buen gobierno,1,58.5
47,O,1,Actividades de apoyo a la función pública y buen gobierno,1,57.7
10,K,1,Infraestructura en materia gubernamental,1,48.1
48,S,57,Programas del fondo nacional de fomento a las artesanías (FONART),1,40.3
35,E,13,"Realizar la promoción y observancia en el monitoreo, seguimiento y evaluación del impacto de la política nacional en materia de igualdad entre mujeres y hombres; y protección y defensa de los derechos humanos de las mujeres en razón de género.",1,37.8
55,Q,14,"Investigación, estudios y proyectos en materia espacial",1,36.5
21,O,1,Actividades de apoyo a la función pública y buen gobierno,1,29.2
16,O,1,Actividades de apoyo a la función pública y buen gobierno,1,26.8
15,O,1,Actividades de apoyo a la función pública y buen gobierno,1,25.3
22,R,8,"Dirección, soporte jurídico electoral y apoyo logístico",1,23.9
50,J,16,Pago de subsidios a los asegurados,1,22.1
13,O,1,Actividades de apoyo a la función pública y buen gobierno,1,20.2
27,E,51,Ejercicio pleno del derecho de acceso a la información pública,1,18.8
35,E,22,Protección y defensa de los Derechos Humanos de las personas indígenas y afrodescendientes privadas de la libertad.,1,16.2
15,P,33,Articulación de la política nacional de vivienda,1,15.9
8,B,5,Producción y comercialización de Biológicos Veterinarios,1,15.2
13,Q,9,"Investigación y desarrollo tecnológico, producción y mantenimiento de equipos navales y sus accesorios",1,14.7
9,O,1,Actividades de apoyo a la función pública y buen gobierno,1,13.1
13,A,18,Emplear el Poder Naval de la Federación para salvaguardar la soberanía y seguridad nacionales,1,13.0
48,Q,7,"Investigación en ciencia, humanidades, tecnología e innovación",1,11.6
18,O,1,Actividades de apoyo a la función pública y buen gobierno,1,11.6
36,N,5,Coordinación del Sistema Nacional de Protección Civil y prevención de amenazas y desastres derivadas de alertas de riesgos,1,11.6
20,P,42,Política de desarrollo integral de las personas con discapacidad,1,11.5
35,E,11,"Atender asuntos relacionados con las niñas, niños y adolescentes y las familias.",1,9.8
36,P,48,Plataforma México,1,8.5
14,E,40,Servicios de impartición y procuración de justicia laboral,1,8.1
47,E,60,Servicios de atención a víctimas,1,7.8
10,G,11,Vigilancia del cumplimiento de la normatividad y fortalecimiento de la certeza jurídica entre proveedores y consumidores,1,7.2
20,O,1,Actividades de apoyo a la función pública y buen gobierno,1,6.9
13,A,23,Programa para el fortalecimiento de derechos humanos e igualdad de género,1,6.9
54,O,1,Actividades de apoyo a la función pública y buen gobierno,1,6.4
1,R,1,Actividades derivadas del trabajo legislativo,1,6.0
35,M,2,Actividades relacionadas a la Igualdad de Género Institucional.,1,5.2
31,O,1,Actividades de apoyo a la función pública y buen gobierno,1,4.6
22,R,9,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",1,3.5
21,G,20,Regulación y certificación de estándares de calidad turística,1,3.1
10,G,10,"Supervisión, vigilancia y actualización del marco normativo y operativo para las unidades económicas.",1,2.9
18,M,1,Actividades de apoyo administrativo,1,2.8
14,O,1,Actividades de apoyo a la función pública y buen gobierno,1,2.5
36,G,22,Regulación de los servicios de seguridad privada para coadyuvar a la prevención del delito,1,2.5
53,E,79,Servicios de operación y mantenimiento de la infraestructura del proceso de distribución de energía eléctrica,1,1.9
51,J,18,Subsidios y ayudas,1,1.9
32,M,1,Actividades de apoyo administrativo,1,1.8
47,E,58,Producción y transmisión de materiales Radiofónicos,1,1.8
55,O,1,Actividades de apoyo a la función pública y buen gobierno,1,1.8
22,M,1,Gestión Administrativa,1,1.8
9,M,1,Actividades de apoyo administrativo,1,1.8
48,E,65,Servicios de protección de los derechos tutelados por la Ley Federal del Derecho de Autor,1,1.7
53,E,78,Servicios de operación y mantenimiento de la Red Nacional de Transmisión,1,1.4
53,E,77,Servicios de operación y mantenimiento de las centrales generadoras de energía eléctrica,1,1.4
49,E,11,"Investigar, perseguir y prevenir delitos del orden electoral",1,1.2
22,R,10,Vinculación con la sociedad,1,1.2
53,M,1,Actividades de apoyo administrativo,1,1.0
4,O,1,Actividades de apoyo a la función pública y buen gobierno,1,0.9
53,E,80,Servicios de comercialización de energía eléctrica y productos asociados,1,0.7
4,M,1,Actividades de apoyo administrativo,1,0.3
53,F,30,"Coordinación, operación y recarga de la Coordinación Nuclear",1,0.3
38,M,1,Actividades de apoyo administrativo,1,0.2
49,E,10,Realizar investigación académica en el marco de las ciencias penales,1,0.2
49,M,1,Actividades de apoyo administrativo,1,0.2
53,F,32,Operación de infraestructura aplicable a telecomunicaciones,1,0.2
53,R,37,Administración de los contratos de producción independiente de energía,1,0.1
18,G,19,"Regulación y supervisión de actividades nucleares, radiológicas y de eficiencia energética",1,0.1
13,E,38,Servicios de operación de la infraestructura ferroviaria,1,0.1
9,P,22,Articulación de la política de comunicaciones y transportes,1,0.1
9,G,6,"Supervisión, inspección y verificación del transporte terrestre y aéreo",1,0.1
31,M,1,Actividades de apoyo administrativo,1,0.0
