RAMO_K,mdp_2025,mdp_2026,dif_nominal,dif_real,var_real_pct,estado,nivel,NOMBRE_RAMO,NOMBRE_PP,NOMBRE_UR,PP_K,UR_K,F_K,FN_K,SF_K,NOMBRE_FN
24,1149551.6,1297681.1,148129.5,92951.0,7.7,continúa,ramo,24 Deuda Pública,009 Organismos financieros internacionales,210 Unidad de Crédito Público y Asuntos Internacionales de Hacienda,,,,,,
56,0.0,172492.4,172492.4,172492.4,inf,aparece,ramo,56 Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,001 Actividades de apoyo a la función pública y buen gobierno,AYO Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar (IMSS-BIENESTAR),,,,,,
GYR,864184.4,99666.9,-764517.5,-805998.3,-89.0,continúa,programa,GYR Instituto Mexicano del Seguro Social,001 Operaciones ajenas,GYR Instituto Mexicano del Seguro Social,001 ,,,,,
19,753202.1,324.4,-752877.7,-789031.4,-100.0,continúa,programa,19 Aportaciones a Seguridad Social,008 Fondo de Reserva para el Retiro IMSS,"411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",J008,,,,,
GYN,355127.2,0.0,-355127.2,-372173.3,-100.0,desaparece,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,026 Pensiones y Jubilaciones,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,026 ,,,,,
GYR,342575.9,0.0,-342575.9,-359019.6,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,011 Atención a la Salud,GYR Instituto Mexicano del Seguro Social,011 ,,,,,
19,386051.6,43693.1,-342358.4,-360888.9,-89.2,continúa,programa,19 Aportaciones a Seguridad Social,"006 Cuota Social al Seguro de Retiro, Cesantía en Edad Avanzada y Vejez","411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",J006,,,,,
TYY,264506.8,0.0,-264506.8,-277203.1,-100.0,desaparece,programa,TYY Pemex Consolidado,002 Aportaciones para pago de pensiones y jubilaciones,TYY Pemex Consolidado,002 ,,,,,
TYY,154182.1,0.0,-154182.1,-161582.8,-100.0,desaparece,programa,TYY Pemex Consolidado,015 Prestación de servicios corporativos,TYY Pemex Consolidado,015 ,,,,,
GYR,149582.1,0.0,-149582.1,-156762.1,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,003 Régimen de Pensiones y Jubilaciones IMSS,GYR Instituto Mexicano del Seguro Social,003 ,,,,,
18,136349.3,0.0,-136349.3,-142894.1,-100.0,desaparece,programa,18 Energía,003 Coordinación de la política energética en hidrocarburos,532 Dirección General de Petrolíferos,P003,,,,,
TVV,124772.1,0.0,-124772.1,-130761.1,-100.0,desaparece,programa,TVV CFE Consolidado,584 Administración de los contratos de producción independiente de energía CFE Generación V,TVV CFE Consolidado,584 ,,,,,
TVV,122765.2,0.0,-122765.2,-128658.0,-100.0,desaparece,programa,TVV CFE Consolidado,561 Operación y mantenimiento de las centrales generadoras de energía eléctrica,TVV CFE Consolidado,561 ,,,,,
09,90166.3,0.0,-90166.3,-94494.3,-100.0,desaparece,programa,"09 Infraestructura, Comunicaciones y Transportes",023 Provisiones para el desarrollo de trenes de pasajeros y de carga,215 Dirección General de Desarrollo Ferroviario y Multimodal,R023,,,,,
47,85845.7,0.0,-85845.7,-89966.2,-100.0,desaparece,programa,47 Entidades no Sectorizadas,013 Atención a la salud y medicamentos gratuitos para la población sin seguridad social laboral,AYO Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar (IMSS-BIENESTAR),U013,,,,,
47,66148.5,0.0,-66148.5,-69323.7,-100.0,desaparece,programa,47 Entidades no Sectorizadas,001 Atención a la salud de personas sin seguridad social,AYO Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar (IMSS-BIENESTAR),E001,,,,,
11,60555.5,0.0,-60555.5,-63462.2,-100.0,desaparece,programa,11 Educación Pública,010 Servicios de Educación Superior y Posgrado,514 Dirección General de Universidades Tecnológicas y Politécnicas,E010,,,,,
TVV,145047.1,86545.1,-58502.0,-65464.2,-43.1,continúa,programa,TVV Comisión Federal de Electricidad,001 Operaciones ajenas,TVV Comisión Federal de Electricidad,001 ,,,,,
TVV,54394.3,0.0,-54394.3,-57005.2,-100.0,desaparece,programa,TVV CFE Consolidado,580 Operación y mantenimiento de la infraestructura del proceso de distribución de energía eléctrica,TVV CFE Consolidado,580 ,,,,,
11,52124.2,0.0,-52124.2,-54626.1,-100.0,desaparece,programa,11 Educación Pública,007 Servicios de Educación Media Superior,616 Dirección General del Bachillerato,E007,,,,,
TVV,47408.2,0.0,-47408.2,-49683.8,-100.0,desaparece,programa,TVV CFE Consolidado,581 Comercialización de energía eléctrica y productos asociados,TVV CFE Consolidado,581 ,,,,,
25,47090.2,0.0,-47090.2,-49350.5,-100.0,desaparece,programa,"25 Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",003 Servicios de educación básica en la Ciudad de México,C00 Autoridad Educativa Federal en la Ciudad de México,E003,,,,,
07,40985.7,0.0,-40985.7,-42953.1,-100.0,desaparece,programa,07 Defensa Nacional,027 Provisiones para la construcción y fortalecimiento de infraestructura,146 Comandancia del Ejército Mexicano,R027,,,,,
19,42000.0,2742.1,-39257.9,-41273.9,-93.8,continúa,programa,19 Aportaciones a Seguridad Social,012 Previsiones para el Pago de las Pensiones de los Jubilados de Ferrocarriles Nacionales de México,"411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",J012,,,,,
GYN,36717.1,0.0,-36717.1,-38479.6,-100.0,desaparece,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,044 Atención a la Salud,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,044 ,,,,,
GYR,35283.7,0.0,-35283.7,-36977.3,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,002 Rentas vitalicias Ley 1997,GYR Instituto Mexicano del Seguro Social,002 ,,,,,
19,42600.0,8744.9,-33855.1,-35899.9,-80.4,continúa,programa,19 Aportaciones a Seguridad Social,009 Pensión Mínima Garantizada IMSS,GYR Instituto Mexicano del Seguro Social,J009,,,,,
07,42904.9,9996.3,-32908.6,-34968.1,-77.8,continúa,programa,07 Defensa Nacional,002 Operación y desarrollo de la Fuerza Aérea Mexicana,146 Comandancia del Ejército Mexicano,A002,,,,,
GYR,30920.2,0.0,-30920.2,-32404.3,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,004 Pago de subsidios a los asegurados,GYR Instituto Mexicano del Seguro Social,004 ,,,,,
12,30510.3,0.0,-30510.3,-31974.8,-100.0,desaparece,programa,12 Salud,023 Atención a la Salud,500 Unidad de Administración y Finanzas,E023,,,,,
23,29517.5,0.0,-29517.5,-30934.3,-100.0,desaparece,programa,23 Provisiones Salariales y Económicas,125 Provisiones Salariales y Económicas,411 Unidad de Política y Control Presupuestario,R125,,,,,
19,28702.1,0.0,-28702.1,-30079.8,-100.0,desaparece,programa,19 Aportaciones a Seguridad Social,006 Cuota Social Seguro de Salud ISSSTE,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,T006,,,,,
19,28074.1,0.0,-28074.1,-29421.7,-100.0,desaparece,programa,19 Aportaciones a Seguridad Social,025 Previsiones para las pensiones en curso de pago de los Extrabajadores de Luz y Fuerza del Centro,"420 Dirección General de Programación y Presupuesto ""C""",J025,,,,,
TVV,26929.2,0.0,-26929.2,-28221.8,-100.0,desaparece,programa,TVV CFE Consolidado,027 Mantenimiento de infraestructura,TVV CFE Consolidado,027 ,,,,,
GYN,25856.6,0.0,-25856.6,-27097.7,-100.0,desaparece,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,025 Pensiones por Vejez,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,025 ,,,,,
TYY,23906.6,0.0,-23906.6,-25054.1,-100.0,desaparece,programa,TYY Pemex Consolidado,027 Mantenimiento de infraestructura,TYY Pemex Consolidado,027 ,,,,,
36,23305.9,0.0,-23305.9,-24424.5,-100.0,desaparece,programa,36 Seguridad y Protección Ciudadana,004 Administración del Sistema Federal Penitenciario,D00 Prevención y Reinserción Social,E004,,,,,
13,22058.5,0.0,-22058.5,-23117.3,-100.0,desaparece,programa,13 Marina,040  Proyectos ferroviarios para transporte de carga y pasajeros,"J3L Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",K040,,,,,
GYN,22047.8,0.0,-22047.8,-23106.1,-100.0,desaparece,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,002 Gastos Administrativos por Operación de Fondos y Seguros,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,002 ,,,,,
13,20706.9,0.0,-20706.9,-21700.8,-100.0,desaparece,programa,13 Marina,001 Emplear el Poder Naval de la Federación para salvaguardar la soberanía y seguridad nacionales,312 Dirección General de Administración y Finanzas,A001,,,,,
36,20205.6,0.0,-20205.6,-21175.5,-100.0,desaparece,programa,36 Seguridad y Protección Ciudadana,"006 Operación de la Guardia Nacional para la prevención, investigación y persecución de delitos",H00 Guardia Nacional,E006,,,,,
23,18677.2,0.0,-18677.2,-19573.7,-100.0,desaparece,programa,23 Provisiones Salariales y Económicas,001 Fondo de Desastres Naturales (FONDEN),411 Unidad de Política y Control Presupuestario,N001,,,,,
TYY,18415.8,0.0,-18415.8,-19299.8,-100.0,desaparece,programa,TYY Pemex Consolidado,013 Servicios médicos al personal de PEMEX,TYY Pemex Consolidado,013 ,,,,,
TVV,17662.8,0.0,-17662.8,-18510.7,-100.0,desaparece,programa,TVV CFE Consolidado,579 Operación y mantenimiento de la Red Nacional de Transmisión,TVV CFE Consolidado,579 ,,,,,
19,17428.7,0.0,-17428.7,-18265.3,-100.0,desaparece,programa,19 Aportaciones a Seguridad Social,018 Apoyo para cubrir el gasto de operación del ISSSTE,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,R018,,,,,
