sex,age_grp,inc_tercile,alloc,se,year,method
female,75-84,1,810.992057632107,128.500676172213,2022,nta_utilization
male,75-84,1,535.690559040369,96.6299493640318,2022,nta_utilization
female,85+,1,611.539438548562,75.3627546335014,2022,nta_utilization
male,85+,1,673.76766126216,101.404540356368,2022,nta_utilization
female,0-4,2,326.591726946147,24.2389374398337,2022,nta_utilization
male,0-4,2,332.389889094785,25.1223334316767,2022,nta_utilization
female,15-29,2,211.201329151616,11.1979815586152,2022,nta_utilization
male,15-29,2,149.244036037997,6.73646530737772,2022,nta_utilization
female,30-44,2,273.690250177014,12.7571151832257,2022,nta_utilization
male,30-44,2,176.052638539715,8.07203680677666,2022,nta_utilization
female,45-59,2,462.205317804836,29.6457549134778,2022,nta_utilization
male,45-59,2,305.874994308804,17.3456754499077,2022,nta_utilization
female,5-14,2,154.310251767972,8.43972595338578,2022,nta_utilization
male,5-14,2,166.30909552836,11.5827220895094,2022,nta_utilization
female,60-64,2,616.799974042095,44.8234398530211,2022,nta_utilization
male,60-64,2,469.286178848603,41.0363278870683,2022,nta_utilization
female,65-74,2,670.104632826077,38.8311306188167,2022,nta_utilization
male,65-74,2,588.36705722748,52.5924340818323,2022,nta_utilization
female,75-84,2,889.845696466506,133.16214748304,2022,nta_utilization
male,75-84,2,582.57848780561,47.2291986240983,2022,nta_utilization
female,85+,2,1076.01959730693,387.835914819573,2022,nta_utilization
male,85+,2,621.926111352555,113.0546617473,2022,nta_utilization
female,0-4,3,968.246342627174,306.708665842938,2022,nta_utilization
male,0-4,3,658.081387827857,44.484896947265,2022,nta_utilization
female,15-29,3,423.858619355696,21.9319292483052,2022,nta_utilization
male,15-29,3,307.76858482581,20.8171024643679,2022,nta_utilization
female,30-44,3,693.63415975884,75.2059251979265,2022,nta_utilization
male,30-44,3,460.974436121656,51.9286323370413,2022,nta_utilization
female,45-59,3,945.73146642883,46.6709500822757,2022,nta_utilization
male,45-59,3,687.770732505722,38.1129676289125,2022,nta_utilization
female,5-14,3,336.103705926717,20.6121228196244,2022,nta_utilization
male,5-14,3,320.07957976623,16.1728968467851,2022,nta_utilization
female,60-64,3,1630.29564671556,194.751485106843,2022,nta_utilization
male,60-64,3,1212.71117426694,129.934728975615,2022,nta_utilization
female,65-74,3,1968.72715555047,149.868650165998,2022,nta_utilization
male,65-74,3,1470.67458742696,147.304215147523,2022,nta_utilization
female,75-84,3,2089.86394632375,243.189547657315,2022,nta_utilization
male,75-84,3,1694.1545735251,202.42371577715,2022,nta_utilization
female,85+,3,1818.19462286794,329.308270657823,2022,nta_utilization
male,85+,3,1972.73291949417,437.992198280993,2022,nta_utilization
female,0-4,1,186.805787761866,14.8399190024709,2024,nta_utilization
male,0-4,1,237.234272722748,27.0192822055414,2024,nta_utilization
female,15-29,1,149.900441364465,7.49524612107271,2024,nta_utilization
male,15-29,1,121.389993841951,6.38966020048035,2024,nta_utilization
female,30-44,1,235.860996922628,14.6624079570452,2024,nta_utilization
male,30-44,1,175.051943851247,13.6653562730361,2024,nta_utilization
female,45-59,1,390.67054277248,22.4514465715098,2024,nta_utilization
male,45-59,1,300.010286772742,26.7548631877351,2024,nta_utilization
female,5-14,1,122.139864865735,7.61974755690908,2024,nta_utilization
male,5-14,1,112.874323012604,6.64707238739136,2024,nta_utilization
female,60-64,1,512.72524682081,38.377701496525,2024,nta_utilization
male,60-64,1,369.485183635157,33.1278810808159,2024,nta_utilization
female,65-74,1,641.173021100039,30.0922195884257,2024,nta_utilization
male,65-74,1,732.199711616482,226.417165685644,2024,nta_utilization
female,75-84,1,781.673811500997,50.2032420471463,2024,nta_utilization
male,75-84,1,636.869026430294,52.7307912685527,2024,nta_utilization
female,85+,1,804.073602020841,88.7254010561652,2024,nta_utilization
male,85+,1,918.109844122199,259.893841200378,2024,nta_utilization
female,0-4,2,316.679673287879,24.2480862357234,2024,nta_utilization
male,0-4,2,365.255957498,28.1703746068013,2024,nta_utilization
female,15-29,2,221.863739358507,9.12417311838088,2024,nta_utilization
male,15-29,2,172.745659608867,9.99563804417425,2024,nta_utilization
female,30-44,2,322.769271636794,17.7418832323934,2024,nta_utilization
male,30-44,2,231.824557562992,12.3905004790901,2024,nta_utilization
female,45-59,2,523.503366295895,24.0009305254124,2024,nta_utilization
male,45-59,2,368.732028530649,29.4704826093751,2024,nta_utilization
female,5-14,2,160.451157513592,6.47084493900488,2024,nta_utilization
male,5-14,2,173.55137176285,8.12662018522113,2024,nta_utilization
female,60-64,2,693.552959276513,55.8748999009091,2024,nta_utilization
male,60-64,2,593.783384713927,75.2951768205898,2024,nta_utilization
female,65-74,2,863.837977081898,54.7825531137565,2024,nta_utilization
male,65-74,2,584.219645960537,40.2460752881901,2024,nta_utilization
female,75-84,2,1379.24082336056,247.658818349098,2024,nta_utilization
male,75-84,2,1004.9686503793,247.44441014075,2024,nta_utilization
female,85+,2,1121.98552896494,150.094037012617,2024,nta_utilization
male,85+,2,1089.38416901983,148.258950100173,2024,nta_utilization
female,0-4,3,727.547363098925,77.8499793620377,2024,nta_utilization
male,0-4,3,715.42519478772,57.6942799054079,2024,nta_utilization
