year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag,note
2021,30-34,0.6465,0.1623,0.4842,22793392,observed,"DANE GEIH 2021 microdata (catalog 701); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national-splice,full-year pooled (12 mo)
2021,35-39,0.6733,0.2332,0.4401,21010911,observed,"DANE GEIH 2021 microdata (catalog 701); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national-splice,full-year pooled (12 mo)
2022,20-24,0.3876,0.0232,0.3643,24927381,observed,"DANE GEIH 2022 microdata (catalog 771); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national-splice,full-year pooled (12 mo)
2022,25-29,0.5606,0.092,0.4686,24439298,observed,"DANE GEIH 2022 microdata (catalog 771); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national-splice,full-year pooled (12 mo)
2022,30-34,0.634,0.1733,0.4607,23646558,observed,"DANE GEIH 2022 microdata (catalog 771); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national-splice,full-year pooled (12 mo)
2022,35-39,0.6645,0.2314,0.4332,22898482,observed,"DANE GEIH 2022 microdata (catalog 771); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national-splice,full-year pooled (12 mo)
2023,20-24,0.3912,0.0235,0.3676,24539532,observed,"DANE GEIH 2023 microdata (catalog 782); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2023,25-29,0.5471,0.0817,0.4654,24270384,observed,"DANE GEIH 2023 microdata (catalog 782); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2023,30-34,0.6302,0.16,0.4702,24243291,observed,"DANE GEIH 2023 microdata (catalog 782); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2023,35-39,0.6548,0.2285,0.4263,23117034,observed,"DANE GEIH 2023 microdata (catalog 782); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2024,20-24,0.3682,0.0242,0.3441,23887816,observed,"DANE GEIH 2024 microdata (catalog 819); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2024,25-29,0.5339,0.0813,0.4526,24026685,observed,"DANE GEIH 2024 microdata (catalog 819); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2024,30-34,0.6122,0.1547,0.4576,24465103,observed,"DANE GEIH 2024 microdata (catalog 819); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
2024,35-39,0.6438,0.216,0.4277,23706176,observed,"DANE GEIH 2024 microdata (catalog 819); P6070 estado civil x P6040 edad, women P3271=2, weighted FEX_C18; pooled 12 mo; domains other",national,full-year pooled (12 mo)
