year,age,sex,pop
2022,96,M,9394
2022,96,F,11725
2022,97,M,7016
2022,97,F,8695
2022,98,M,5110
2022,98,F,6292
2022,99,M,3643
2022,99,F,4426
2022,100,M,2559
2022,100,F,3034
2022,101,M,1785
2022,101,F,2055
2022,102,M,1243
2022,102,F,1399
2022,103,M,860
2022,103,F,955
2022,104,M,585
2022,104,F,636
2022,105,M,387
2022,105,F,401
2022,106,M,246
2022,106,F,237
2022,107,M,150
2022,107,F,133
2022,108,M,89
2022,108,F,72
2022,109,M,39
2022,109,F,31
2023,0,M,1042374
2023,0,F,1004586
2023,1,M,1052727
2023,1,F,1013987
2023,2,M,1060828
2023,2,F,1021585
2023,3,M,1062067
2023,3,F,1024195
2023,4,M,1064858
2023,4,F,1027301
2023,5,M,1066684
2023,5,F,1028462
2023,6,M,1073272
2023,6,F,1034472
2023,7,M,1090198
2023,7,F,1050405
2023,8,M,1106004
2023,8,F,1065422
2023,9,M,1115680
2023,9,F,1074819
2023,10,M,1124284
2023,10,F,1083356
2023,11,M,1136271
2023,11,F,1095069
2023,12,M,1149710
2023,12,F,1108067
2023,13,M,1159235
2023,13,F,1117490
2023,14,M,1162120
2023,14,F,1121017
2023,15,M,1157880
2023,15,F,1119257
2023,16,M,1148906
2023,16,F,1115177
2023,17,M,1139410
2023,17,F,1111296
2023,18,M,1132480
2023,18,F,1109214
2023,19,M,1129241
2023,19,F,1109624
2023,20,M,1130430
2023,20,F,1113340
2023,21,M,1134887
2023,21,F,1119533
2023,22,M,1137215
2023,22,F,1123393
2023,23,M,1131629
2023,23,F,1119996
2023,24,M,1117452
2023,24,F,1108793
2023,25,M,1102024
2023,25,F,1096437
2023,26,M,1092764
2023,26,F,1090106
2023,27,M,1089361
2023,27,F,1089823
2023,28,M,1087511
2023,28,F,1091502
2023,29,M,1083353
2023,29,F,1091434
2023,30,M,1074933
2023,30,F,1087886
2023,31,M,1060752
2023,31,F,1079377
2023,32,M,1038917
2023,32,F,1064069
2023,33,M,1011540
2023,33,F,1044016
2023,34,M,984368
2023,34,F,1024631
2023,35,M,958971
2023,35,F,1007882
2023,36,M,933497
2023,36,F,992638
2023,37,M,906875
2023,37,F,978161
2023,38,M,877810
2023,38,F,963027
2023,39,M,845876
2023,39,F,945812
2023,40,M,813808
2023,40,F,927678
2023,41,M,784735
2023,41,F,909947
2023,42,M,761112
2023,42,F,893892
2023,43,M,744061
2023,43,F,880519
2023,44,M,733120
2023,44,F,869860
2023,45,M,727843
2023,45,F,862225
2023,46,M,727319
2023,46,F,857433
2023,47,M,728956
2023,47,F,853447
2023,48,M,728395
2023,48,F,846046
2023,49,M,723210
2023,49,F,833001
2023,50,M,713480
2023,50,F,815097
2023,51,M,700120
2023,51,F,793888
2023,52,M,684184
2023,52,F,770877
2023,53,M,666486
2023,53,F,746869
2023,54,M,648042
2023,54,F,722881
2023,55,M,628904
2023,55,F,699170
2023,56,M,609265
2023,56,F,675833
2023,57,M,589927
2023,57,F,653593
2023,58,M,570438
2023,58,F,631847
2023,59,M,549109
2023,59,F,608579
2023,60,M,525861
2023,60,F,583618
