w,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,norm_strength,norm_threshold,norm_steepness
0.60,2,7.118322,0.481071,0.134988,0.269914,0.192013,0.064048,0.136150,0.415931,21.408599
0.60,2,6.871180,0.549083,0.110509,0.252679,0.193962,0.067264,0.124103,0.426682,20.942587
0.60,2,6.129155,0.521003,0.091229,0.252812,0.194683,0.070263,0.106615,0.433422,20.095990
0.60,2,5.211312,0.523527,0.062004,0.251005,0.203335,0.079916,0.084355,0.480318,19.010760
0.60,2,5.704456,0.523326,0.069856,0.253127,0.195790,0.075333,0.079184,0.445150,25.273410
0.60,2,4.155467,0.494502,0.075048,0.224619,0.210293,0.084693,0.083425,0.517874,22.625865
0.60,2,2.978437,0.466680,0.059016,0.189359,0.223910,0.093832,0.061402,0.607579,23.217590
0.60,2,4.694742,0.511335,0.058486,0.241018,0.194328,0.084427,0.070451,0.649699,23.043980
0.60,2,4.411315,0.511019,0.054203,0.240087,0.188798,0.087328,0.203944,0.543990,23.250382
0.60,2,4.584612,0.512888,0.054404,0.247978,0.191023,0.094478,0.068620,0.575543,22.389638
0.60,2,3.927900,0.541628,0.052219,0.195062,0.195848,0.094280,0.071600,0.623743,23.721184
0.60,2,3.399968,0.462253,0.051384,0.211737,0.194422,0.096008,0.068640,0.653916,24.654275
0.60,2,3.506393,0.507389,0.050393,0.222903,0.231321,0.096432,0.037353,0.676376,23.511508
0.60,2,3.071120,0.488403,0.050596,0.192654,0.213698,0.097905,0.071404,0.713080,19.956532
0.60,2,2.866081,0.477613,0.050468,0.177822,0.210068,0.098516,0.064194,0.729990,25.939539
0.60,2,2.529284,0.448075,0.050092,0.131058,0.213128,0.099633,0.055879,0.772814,27.761114
0.60,2,2.731359,0.477937,0.050214,0.163912,0.220412,0.099234,0.072696,0.677643,24.628607
0.60,2,2.505574,0.465604,0.050194,0.126794,0.227036,0.098553,0.075706,0.736114,25.574459
0.60,2,2.904079,0.436069,0.050041,0.066877,0.236319,0.099269,0.079494,0.769007,26.710228
0.60,2,2.634565,0.454750,0.050094,0.108832,0.233209,0.099668,0.017257,0.764698,25.461899
0.60,2,1.671040,0.358945,0.050081,0.143179,0.235782,0.099615,0.039015,0.762030,25.485512
0.60,2,0.714960,0.227669,0.050015,0.117058,0.243153,0.099903,0.028603,0.783809,26.205688
0.60,2,2.058096,0.354472,0.050205,0.086114,0.215765,0.099745,0.070042,0.765480,26.212858
0.60,2,2.499535,0.393020,0.050036,0.071093,0.240688,0.099887,0.038344,0.780872,25.720792
0.60,2,2.131391,0.325888,0.050041,0.063360,0.239241,0.099895,0.031403,0.776415,28.481168
0.60,2,2.414039,0.318723,0.050001,0.045024,0.237715,0.099988,0.030989,0.795009,28.283291
0.60,2,1.923016,0.257173,0.050007,0.040319,0.241468,0.099963,0.020867,0.796161,28.323090
0.60,2,1.210376,0.237783,0.050009,0.057553,0.236936,0.099951,0.090724,0.791368,28.434417
0.60,2,1.330222,0.195562,0.050005,0.034411,0.245763,0.099973,0.032688,0.791539,27.005371
0.60,3,6.749891,0.302513,0.356373,0.195866,0.038872,0.039738,0.517769,0.539464,25.345318
0.60,3,8.858276,0.413716,0.356373,0.195866,0.038872,0.039738,0.517769,0.539464,25.345318
0.60,3,8.856544,0.302513,0.522935,0.195866,0.038872,0.039738,0.517769,0.539464,25.345318
0.60,3,8.013086,0.302513,0.356373,0.242152,0.038872,0.039738,0.517769,0.539464,25.345318
0.60,3,6.339901,0.302513,0.356373,0.195866,0.072664,0.039738,0.517769,0.539464,25.345318
0.60,3,5.495887,0.302513,0.356373,0.195866,0.038872,0.059474,0.517769,0.539464,25.345318
0.60,3,4.611718,0.302513,0.356373,0.195866,0.038872,0.039738,0.690860,0.539464,25.345318
