archivo_origen,CVEENT,entidad,beneficiarios,intervenciones,dependencias,padrones,programas,periodo,periodo_cve,trimestre,anio,fecha,entidad_etiqueta,entidad_etq
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,19,NUEVO LEÓN,502831,3453088.0,8,17,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,NUEVO LEÓN,Nuevo León
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,20,OAXACA,2198821,10016532.0,10,21,16,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,OAXACA,Oaxaca
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,21,PUEBLA,2250002,11349336.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,PUEBLA,Puebla
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,22,QUERÉTARO,323025,3717370.0,7,16,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,QUERÉTARO,Querétaro
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,23,QUINTANA ROO,187695,1731069.0,9,20,16,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,QUINTANA ROO,Quintana Roo
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,24,SAN LUIS POTOSÍ,1184747,6804805.0,8,18,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,SAN LUIS POTOSÍ,San Luis Potosí
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,25,SINALOA,793008,4708247.0,7,18,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,SINALOA,Sinaloa
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,26,SONORA,398355,3050887.0,7,17,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,SONORA,Sonora
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,27,TABASCO,486249,3697825.0,7,18,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,TABASCO,Tabasco
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,28,TAMAULIPAS,697230,3143475.0,8,14,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,TAMAULIPAS,Tamaulipas
