anio,cve_geo,entidad,poblacion_total,poblacion_65_mas,edad_escolar_3_14,razon_dependencia
2019,7,Chiapas,5648179,320587,1487751,64.3800
2019,8,Chihuahua,3775295,259589,808957,49.3400
2019,9,Ciudad de México,9343071,960756,1455268,41.4300
2019,10,Durango,1846325,133829,429397,56.1400
2019,11,Guanajuato,6214546,432639,1367739,52.3600
2019,12,Guerrero,3604522,295903,869530,62.4300
2019,13,Hidalgo,3095127,245216,674535,52.2900
2019,14,Jalisco,8423387,638565,1791803,51.4300
2019,15,Estado de México,17141518,1163931,3499415,46.7600
2019,16,Michoacán,4798352,394604,1079668,56.9900
2019,17,Morelos,1992901,176530,401507,50.3700
2019,18,Nayarit,1240909,102162,276961,54.7300
2019,19,Nuevo León,5792403,405180,1157994,47.0400
2019,20,Oaxaca,4180230,369415,967233,59.8400
2019,21,Puebla,6637103,478112,1491765,54.4700
2019,22,Querétaro,2364645,145915,488796,47.0200
2019,23,Quintana Roo,1841470,74025,380270,42.5700
2019,24,San Luis Potosí,2855736,237969,617797,54.0700
2019,25,Sinaloa,3066406,251947,636574,50.9700
2019,26,Sonora,2981674,220759,626612,49.2200
2019,27,Tabasco,2442176,159974,554023,52.7300
2019,28,Tamaulipas,3574992,268714,748829,49.6900
2019,29,Tlaxcala,1358198,93761,299249,52.1800
2019,30,Veracruz,8188082,758085,1689721,52.3400
2019,31,Yucatán,2326846,186101,466869,48.6400
2019,32,Zacatecas,1639972,133239,381336,58.9100
2020,1,Aguascalientes,1456050,92544,326192,51.9800
2020,2,Baja California,3838619,234263,749928,42.7600
2020,3,Baja California Sur,815098,46777,166406,44.5400
2020,4,Campeche,939179,66329,201201,49.9500
2020,5,Coahuila,3197122,221162,687587,50.6900
2020,6,Colima,745122,59700,148343,47.6500
2020,7,Chiapas,5715260,327250,1495816,64.0400
2020,8,Chihuahua,3812627,268092,802015,48.6700
2020,9,Ciudad de México,9332593,982276,1424215,41.0100
2020,10,Durango,1858155,136725,428039,55.5400
2020,11,Guanajuato,6265796,443685,1358636,51.7900
2020,12,Guerrero,3599955,299675,858659,61.8700
2020,13,Hidalgo,3130166,251802,670517,51.4600
2020,14,Jalisco,8507662,659831,1781970,50.9200
2020,15,Estado de México,17236788,1200955,3460747,46.2400
2020,16,Michoacán,4830267,402498,1075379,56.6900
2020,17,Morelos,2002754,181074,397425,49.9800
2020,18,Nayarit,1252690,105148,276222,54.3300
2020,19,Nuevo León,5905971,421806,1165516,46.7900
2020,20,Oaxaca,4204445,375099,961356,59.2600
2020,21,Puebla,6705217,488088,1485205,53.8700
2020,22,Querétaro,2419819,152986,490741,46.2900
2020,23,Quintana Roo,1898241,78040,386467,42.1300
2020,24,San Luis Potosí,2871697,241775,610804,53.3300
2020,25,Sinaloa,3079773,258492,629303,50.5400
2020,26,Sonora,3002286,228804,619785,48.7200
2020,27,Tabasco,2440449,163249,549211,52.3100
2020,28,Tamaulipas,3595971,276523,740671,49.1600
2020,29,Tlaxcala,1369950,95321,297694,51.5700
2020,30,Veracruz,8169287,773939,1661423,51.9700
2020,31,Yucatán,2363123,192236,467412,48.1600
2020,32,Zacatecas,1647038,134481,379916,58.4600
2021,1,Aguascalientes,1472645,95493,325454,51.3100
2021,2,Baja California,3889925,243074,745755,42.1700
2021,3,Baja California Sur,831832,48749,167025,44.0500
2021,4,Campeche,941684,67294,199830,49.4300
2021,5,Coahuila,3232850,228845,688206,50.3800
2021,6,Colima,748315,61110,146167,46.8600
2021,7,Chiapas,5785553,329927,1505579,63.6100
2021,8,Chihuahua,3851891,277069,795006,47.9400
2021,9,Ciudad de México,9272649,997595,1381499,40.5600
2021,10,Durango,1870186,139695,425803,54.8100
2021,11,Guanajuato,6308964,448550,1353309,51.2000
2021,12,Guerrero,3598332,299494,849856,61.1200
2021,13,Hidalgo,3157947,255879,664518,50.5200
2021,14,Jalisco,8573447,673080,1773244,50.4000
2021,15,Estado de México,17291050,1224198,3419773,45.7100
2021,16,Michoacán,4862597,404690,1073750,56.3600
2021,17,Morelos,2008274,182823,392597,49.4000
2021,18,Nayarit,1264932,107047,274876,53.6500
2021,19,Nuevo León,5996906,435903,1172621,46.6500
2021,20,Oaxaca,4221338,374269,954673,58.4300
2021,21,Puebla,6758650,490253,1481255,53.3100
2021,22,Querétaro,2462684,157808,492570,45.7400
2021,23,Quintana Roo,1936713,81634,390335,41.9000
2021,24,San Luis Potosí,2885794,243545,605737,52.6600
2021,25,Sinaloa,3096923,264459,623202,50.0600
2021,26,Sonora,3024147,236558,611989,48.1000
2021,27,Tabasco,2441753,165642,542715,51.5700
2021,28,Tamaulipas,3621934,285221,732829,48.5600
2021,29,Tlaxcala,1380635,95143,296737,50.8900
2021,30,Veracruz,8146184,781332,1630818,51.3400
2021,31,Yucatán,2390802,196882,466492,47.6100
2021,32,Zacatecas,1655403,134409,378950,57.8300
2022,1,Aguascalientes,1491126,99764,324212,50.7100
2022,2,Baja California,3948201,255924,741059,41.6900
2022,3,Baja California Sur,849224,51320,167503,43.6300
2022,4,Campeche,945445,69317,198149,48.9200
2022,5,Coahuila,3273658,239733,688063,50.1400
2022,6,Colima,752247,63128,143587,46.1500
2022,7,Chiapas,5862882,337777,1516229,63.2000
2022,8,Chihuahua,3898274,290001,786890,47.3000
2022,9,Ciudad de México,9237644,1026076,1337125,40.2800
2022,10,Durango,1884286,144604,422954,54.1000
2022,11,Guanajuato,6360814,459148,1348526,50.6600
2022,12,Guerrero,3599951,303053,841369,60.4100
2022,13,Hidalgo,3190331,263190,657326,49.6500
2022,14,Jalisco,8647986,692612,1763968,49.9200
2022,15,Estado de México,17379644,1268446,3380296,45.2600
